8,6,Ugx3saFwwuxDKQvHZ_J4AaABAg,"",@Nerdbench,https://amzn.to/4c73V88 Verfügbar hier.,1,2026-04-10 06:07:37+00,2026-04-10 06:07:37+00,f,2026-04-28 07:25:27.47381+00,2026-04-28 07:25:27.47381+00
16,11,UgwNjHe8qFwpe1Oxi854AaABAg,"",@BrainDegeek,J'aimerais bien le testé celui ci :) pour comparer avec le Neo 2,0,2026-04-20 12:11:05+00,2026-04-20 12:11:05+00,f,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
17,11,UgwNjHe8qFwpe1Oxi854AaABAg.AVp5kUcn1pVAVprh9T_UUa,UgwNjHe8qFwpe1Oxi854AaABAg,@jolatetv8150,"Il y a de quoi faire une belle confrontation entre les deux, c'est clair ! 👌",0,2026-04-20 19:18:48+00,2026-04-20 19:18:48+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
18,11,UgyMB5b9b5J_Vj14qel4AaABAg,"",@thamalou2675,"Yo Jolate , comment vas tu ? Toujours des vidéos de qualité ici , le premier drone que t'avais présenté était cool , celui ci a l'air ouf !",0,2026-04-19 23:38:46+00,2026-04-19 23:38:46+00,f,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
19,11,UgyMB5b9b5J_Vj14qel4AaABAg.AVnkeIxXoGiAVoJEgROAa9,UgyMB5b9b5J_Vj14qel4AaABAg,@jolatetv8150,"Salut , tranquille et toi ? Merci beaucoup comme d'hab ça fait toujours plaisir !",0,2026-04-20 04:49:42+00,2026-04-20 04:49:42+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
20,11,UgzQU57KHN8wl1WsYt14AaABAg,"",@Sanchez-ytb,la qualité vidéo est surprenante pour un si petit drone,1,2026-04-19 16:39:11+00,2026-04-19 16:39:11+00,f,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
21,11,UgzQU57KHN8wl1WsYt14AaABAg.AVn-dIapLSqAVn-y2jbwLB,UgzQU57KHN8wl1WsYt14AaABAg,@jolatetv8150,"Un beau capteur sur celui-ci cochon , ça rivalise avec des plus grands 💯",1,2026-04-19 16:42:01+00,2026-04-19 16:42:01+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
22,11,Ugx0cODdQzlflWg1EJt4AaABAg,"",@Sanchez-ytb,"un drone super léger , mais la résistance au vent c'est comment ?",1,2026-04-19 16:36:55+00,2026-04-19 16:36:55+00,f,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
23,11,Ugx0cODdQzlflWg1EJt4AaABAg.AVn-Na2wOwTAVn-pq-Dk2n,Ugx0cODdQzlflWg1EJt4AaABAg,@jolatetv8150,"Ah c'est pas fait pour être en pleine tempête cochon 😅, ça reste limité à la résistance au vent , c'est vrai que c'est un sujet que j'aurais pu aborder. 👍",1,2026-04-19 16:40:54+00,2026-04-19 16:40:54+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
24,11,UgzBQxrdR_ocRSavdCV4AaABAg,"",@Sanchez-ytb,"Un Unboxing de qualité , on le lésine pas 💯🔥",2,2026-04-19 16:35:44+00,2026-04-19 16:35:44+00,f,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
25,11,UgzBQxrdR_ocRSavdCV4AaABAg.AVn-EwK_JY-AVn-bb_GFR3,UgzBQxrdR_ocRSavdCV4AaABAg,@jolatetv8150,"Tu sais bien d'où il vient cochon, on ne lésine jamais 💯",0,2026-04-19 16:38:58+00,2026-04-19 16:38:58+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
26,11,UgzBQxrdR_ocRSavdCV4AaABAg.AVn-EwK_JY-AVnS-VEHs-6,UgzBQxrdR_ocRSavdCV4AaABAg,@Sanchez-ytb,@jolatetv8150 oui mais sa me fait toujours autant plaisir  😁,0,2026-04-19 20:47:02+00,2026-04-19 20:47:02+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
27,11,UgwCts0lg-MWLtg47pB4AaABAg,"",@Sanchez-ytb,j'adore c'est petit drone,0,2026-04-19 16:34:15+00,2026-04-19 16:34:15+00,f,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
28,11,UgwCts0lg-MWLtg47pB4AaABAg.AVn-43Th53pAVn-rDUuGnd,UgwCts0lg-MWLtg47pB4AaABAg,@jolatetv8150,"Pareil , super pratique 💯",1,2026-04-19 16:41:05+00,2026-04-19 16:41:05+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
